,Operator Name,Location Name,COMAH tier,Local Authority,Country,postcode,latitude,longitude,x,y
98,Evans Vanodine International Plc,Preston,upper,South Ribble,England,PR58AH,53.7244487467212,-2.65043128961142,222.67977109976815,300.8497744546721
99,Exwold Technology Limited,Hartlepool,upper,Hartlepool,England,TS252BE,54.650483,-1.196491,320.02254573741493,381.1224341719121
100,ExxonMobil Chemical Limited,Fife Ethylene Plant Breafoot Bay,upper,Fife UA,Scotland,KY30XR,56.040293,-3.317607,191.03449664210788,513.4037138991871
101,ExxonMobil Chemical Limited,Fife Ethylene Plant Mossmorran,upper,Fife UA,Scotland,KY48EP,56.091597254270894,-3.31366916812619,191.5522698118419,518.1147930640741
102,Faldingworth Defence Limited,Market Rasen,upper,West Lindsey,England,LN83SQ,53.346428162079505,-0.406743,369.9914705419555,263.108485775022
103,Falmouth Petroleum Limited,Falmouth,upper,Cornwall UA,England,TR114NR,50.152101,-5.05658272566438,37.185446139975454,0.0
104,Fine Organics Limited ,Seal Sands,upper,Stockton-on-Tees,England,TS21UB,54.610588,-1.180091,321.0028840988973,377.48394639077014
105,Flogas Britain Limited,Avonmouth LPG Terminal,upper,South Gloucs UA,England,BS107SQ,51.529011342519,-2.65340072015672,213.5039962224147,107.07582556323587
106,Flogas Britain Limited,Birmingham,upper,Birmingham,England,B357BT,52.51215361,-1.788098674,276.0056864238577,190.88318282364435
107,Flogas Britain Limited,Leicester (Merrylees),upper,Hinckley & Bosworth,England,LE99FE,52.651269,-1.309831,308.6401579001124,202.29083195091607
108,Flogas Britain Limited,Llandarcy LPG storage depot,upper,Neath & Port Talbot UA,Wales,SA106JY,51.639107433579106,-3.842857361224,131.99818614342678,121.30826447503478
109,Flogas Britain Limited,Rainham,upper,Havering,England,RM138UH,51.5117903607772,0.172352797267643,408.91833292743934,101.34527887934019
110,Flogas Britain Limited,"Staveley, Chesterfield",upper,Chesterfield,England,S433YN,53.276395,-1.350465,307.20752049411834,257.82618149842574
111,FMC Agro Limited,Deeside,upper,Flintshire UA,Wales,CH52DH,53.201177,-3.008044,196.7276713712465,255.32558561561245
112,Frank Wright Limited,Ashbourne,upper,Derbyshire Dales,England,DE61HA,53.006317,-1.713963,282.32867258568257,234.45462204687055
113,Frontier Agriculture Limited,Hermitage,upper,West Berkshire UA,England,RG189QL,51.443693,-1.278957,308.3591191327382,96.39246221373287
114,Frontier Agriculture Limited,Wickenby Airfield,upper,West Lindsey,England,LN35AX,53.3161660512823,-0.346784433757159,373.9551349877521,260.3832956424276
