Operator Name,Location Name,Address Name,Address Street,Address Town,Address County,Address Postcode 1,Address Postcode 2,Incumbent Duty Type Text,Previous Name,LA Code,Local Authority,Country
Shell U.K. Limited,Braefoot Bay - Burntisland,,Braefoot Bay Terminal ,Burntisland ,Fife,KY3 ,0XR,COMAH Upper Tier Operator,,9066,Fife UA,Scotland
Shell U.K. Limited,"Mossmorran, Fife NGL Plant - Cowdenbeath",Po Box 16,Fife NGL Plant,Cowdenbeath,Fife,KY4 ,8EL,COMAH Upper Tier Operator,,9066,Fife UA,Scotland
Shell U.K. Limited,"Peterhead, St Fergus Gas Plant ",Shell St Fergus Gas Plant ,,Peterhead,Aberdeenshire ,AB42,3EP,COMAH Upper Tier Operator,,9052,Aberdeenshire UA,Scotland
Shell U.K. Oil Products Limited,"Kingsbury, South Terminal",Kingsbury Terminal,Piccadilly Way,Tamworth,Staffordshire,B78 ,2EA,COMAH Upper Tier Operator, (was BP Oil UK Limited),3705,North Warwickshire,England
Shell U.K. Oil Products Limited,Gatwick Fuel Farm - GASHCo/Shell,Gatwick Fuel Farm,Perimeter Road North,Gatwick,West Sussex ,RH6 ,0JE,COMAH Upper Tier Operator,,3820,Crawley,England
Shell U.K. Oil Products Limited,Stanford Le Hope,,The Manorway,Stanford Le Hope,Essex ,SS17,9LD,COMAH Upper Tier Operator,,1595,Thurrock UA,England
Sherwin-Williams Protective & Marine Coatings,Bolton,Tower Works,Kestor Street ,Bolton ,Lancashire,BL2 ,2AL,COMAH Upper Tier Operator, (was Leigh's Paints),4205,Bolton,England
SI Group-UK Limited,Wolverhampton,,"Gravelly Way, Four Ashes",Wolverhampton,Staffordshire,WV10,7BT,COMAH Upper Tier Operator,,3430,South Staffordshire,England
SNF Oil and Gas Limited,Billingham,,Belasis Avenue,Billingham,Cleveland,TS23,1JG,COMAH Upper Tier Operator,,0738,Stockton-on-Tees,England
Solenis UK Industries Limited,Bradford,PO Box 38,"Cleckheaton Road, Low Moor",Bradford,West Yorkshire,BD12,0JZ,COMAH Upper Tier Operator, (was BASF Plc),4705,Bradford,England
Solenis UK Industries Limited,Grimsby,PO Box 63,Moody Lane,Grimsby,North Lincolnshire,DN31,2SY,COMAH Upper Tier Operator, (was BASF Plc),2002,North East Lincolnshire,England
Solutia UK Limited,Newport,,Corporation Road,Newport,Gwent ,NP19,4XF,COMAH Upper Tier Operator,,6935,Newport UA,Wales
Solvay Interox Limited,Baronet Works,Baronet Works,Baronet Road,Warrington,Cheshire,WA4 ,6HB,COMAH Upper Tier Operator,,0655,Warrington UA,England
Solvay Solutions UK Limited,Halifax,Stainland Works,Holywell Green,Halifax,West Yorkshire,HX4 ,9DL,COMAH Upper Tier Operator, (was Rhodia UK Ltd),4710,Calderdale,England
Solvay Solutions UK Limited,Oldbury,P O Box 80,Trinity Street,Warley,West Midlands ,B69 ,4LN,COMAH Upper Tier Operator, (was Rhodia UK Ltd),4620,Sandwell,England
South Hook LNG,Milford Haven,South Hook LNG Terminal,Dale Road,Milford Haven,Pembrokeshire,SA73,3SU,COMAH Upper Tier Operator,,6845,Pembrokeshire UA,Wales
South Tees Site Company Limited,Redcar,Steel House,Trunk Road,Redcar,Cleveland ,TS10,5QW,COMAH Upper Tier Operator, (was Sahaviriya Steel Industries UK Limited),0728,Redcar & Cleveland,England
Spirit Energy Production UK Limited,Barrow in Furness,,Rampside Road,Barrow in Furness,Cumbria,LA13,0QS,COMAH Upper Tier Operator, (was Hydrocarbon Resources Limited),0910,Barrow-in-Furness,England
Springfields Fuels Limited,Springfield Works,Springfields,Salwick,Preston,Lancashire,PR4,0XJ,COMAH Upper Tier Operator, (was British Nuclear Fuels Plc),2325,Fylde,England
SSE Hornsea Limited,Aldbrough,Aldbrough Gas Storage Facility,Aldbrough Road,Aldbrough,East Riding of Yorkshire,HU11,4QA,COMAH Upper Tier Operator,,2001,East Riding,England
