Operator Name,Location Name,Address Name,Address Street,Address Town,Address County,Address Postcode 1,Address Postcode 2,Incumbent Duty Type Text,Previous Name,LA Code,Local Authority,Country
Air Products Public Limited Company,Bardon Hill,Hilltop Industrial Estate,Walker Road                  ,Coalville               ,Leicestershire                ,LE67,1TU,COMAH Lower Tier Operator,,2435,NW Leicestershire,England
Air Products Public Limited Company,Basingstoke,Hampshire Business Park,Crockford Lane,"Chineham, Basingstoke",Hampshire                     ,RG24,0GA,COMAH Lower Tier Operator,,1705,Basingstoke,England
Air Products Public Limited Company,Stoke-on-Trent,Festival Park,Festival Way                  ,"Hanley, Stoke-on-Trent",Staffordshire                 ,ST1 ,5HB,COMAH Lower Tier Operator,,3455,Stoke-on-Trent,England
Air Products Public Limited Company,"Walkden, Manchester",,Sharp Street                  ,"Worsely, Manchester    ",Greater Manchester,M28 ,5WA,COMAH Lower Tier Operator,,4230,Salford,England
Airedale Chemical Co Limited,Keighley,Airedale Mills,Skipton Road                  ,Keighley,West Yorkshire                ,BD20,7BX,COMAH Lower Tier Operator,,2705,Craven,England
AKW Global Warehousing Limited,Trafford,"26 Bond, Europa Way",,Trafford,Manchester,M17,1WF,COMAH Lower Tier Operator, (was AKW Group PLC),4245,Trafford,England
Akzo Nobel Packaging Coatings Limited,Birmingham,,Bordesley Green Road,Birmingham,West Midlands                 ,B9  ,4TQ,COMAH Lower Tier Operator, (was ICI Packaging Coatings Ltd),4605,Birmingham,England
Alloga UK Limited,Amber Park Building 1,Amber Park Industrial Estate,Berristow Lane,South Normanton,Derbyshire                    ,DE55,2FT,COMAH Lower Tier Operator, (was Unidrug Distribution Group Ltd),1010,Bolsover,England
Alpek Polyester UK Limited,Wilton,Davies Offices,Wilton,Redcar,Cleveland,TS10,4XZ,COMAH Lower Tier Operator, (was Lotte Chemical UK Limited (was Artenius UK Limited),0728,Redcar & Cleveland,England
Anglian Water Services Limited,Elsham Water Treatment Works,Middlegate Lane,Elsham Wolds,Brigg,North Lincolnshire,DN20,0NV,COMAH Lower Tier Operator,,2003,North Lincolnshire,England
Angus Dundee Distillers plc,Coatbridge Distillery,,Main Street,Coatbridge,Lanarkshire,ML5,3RH,COMAH Lower Tier Operator, (was John Dewar & Sons Ltd),9073,North Lanarkshire UA,Scotland
Angus Dundee Distillers plc,Tomintoul Distillery,,,Ballindalloch,Moray,AB37,9AQ,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Angus Horticulture Services Limited,Dundee,Shed 10 & 11,King George V Wharf Road,"Dundee Port, Dundee",Angus,DD1,3LJ,COMAH Lower Tier Operator,,9059,Dundee UA,Scotland
Argent Energy Holdings Limited,Cheshire,Bridges Road,Bridges Road,Ellesmere Port,Cheshire,CH65,4LB,COMAH Lower Tier Operator, (was ESL Fuels Ltd),0660,Cheshire West and Chester UA,England
ASCO UK Limited,Aberdeen - Sinclair,Mathieson House,Sinclair Road,Aberdeen,Aberdeenshire,AB11,9PL,COMAH Lower Tier Operator,,9051,Aberdeen City UA,Scotland
ASCO UK Limited,Aberdeen - South Esplanade Terminal,South Esplanade Terminal,South Esplanade East          ,Aberdeen,Aberdeenshire,AB11,9PS,COMAH Lower Tier Operator,,9051,Aberdeen City UA,Scotland
ASCO UK Limited,Great Yarmouth,South Denes,,Great Yarmouth,Norfolk,NR30,3LX,COMAH Lower Tier Operator,,2615,Great Yarmouth,England
ASCO UK Limited,Aberdeen - Mearns Quay,Mearns Quay,North Esplanade East,Aberdeen,Aberdeenshire,AB11,5QY,COMAH Lower Tier Operator,,9051,Aberdeen City UA,Scotland
ASCO UK Limited,Peterhead North Base Ship Street,,Ship Street                   ,Petherhead,Aberdeenshire                 ,AB42,1DP,COMAH Lower Tier Operator,,9052,Aberdeenshire UA,Scotland
ASCO UK Limited,North Base Fuel Terminal Castle Street,,Castle Street                   ,Petherhead,Aberdeenshire                 ,AB42,1DP,COMAH Lower Tier Operator,,9052,Aberdeenshire UA,Scotland
ASCO UK Limited,Peterhead South Base,"Peterhead Offshore Supply Base, South",Peterhead,Aberdeen,Aberdeenshire,AB42,2PF,COMAH Lower Tier Operator,,9052,Aberdeenshire UA,Scotland
ASCO UK Limited,Aberdeen - Pocra Quay,Pocra Marine Plant,Abbey Road                    ,Aberdeen,Aberdeenshire,AB11,5DB,COMAH Lower Tier Operator,,9051,Aberdeen City UA,Scotland
Associated British Ports,ABP Bulk Park      ,Immingham Dock          ,Alexandra Road North          ,Immingham,North East Lincolnshire       ,DN40,2QW,COMAH Lower Tier Operator,,2002,North East Lincolnshire,England
Associated British Ports,Cliff Quay Ipswich,,,Ipswich,Suffolk,IP3,0BE,COMAH Lower Tier Operator,,3515,Ipswich,England
Associated British Ports,Dock Road,Dock Road,Garston,Liverpool,Merseyside,L19,2NF,COMAH Lower Tier Operator,,4310,Liverpool,England
Associated British Ports,Estuary Road Kings Lynn,,Estuary Road,Kings Lynn,Norfolk,PE30,2HJ,COMAH Lower Tier Operator,,2635,W Norfolk & Kings Lynn,England
Associated British Ports,Shed No 2/3 - Immingham Dock,Shed No 2/3,Immingham Dock,Immingham,North East Lincolnshire,DN40,2QY,COMAH Lower Tier Operator,,2002,North East Lincolnshire,England
AstraZeneca UK Limited,Hurdsfield Manufacturing Site,Hurdsfield Industrial Estate,Silk Road                   ,Macclesfield,Cheshire                      ,SK10,2NA,COMAH Lower Tier Operator,,0670,Cheshire East UA,England
Augean Treatment Limited,Avonmouth,,Smoke Lane                    ,Bristol,South Gloucestershire,BS11,0YA,COMAH Lower Tier Operator,,0116,Bristol UA,England
Avanti Gas Limited,Cibyn Industrial Estate,Unit A5 Cibyn Industrial Estat,Llanberis Road                ,Caernarfon,Gwynedd,LL55,2BD,COMAH Lower Tier Operator, (was Shell Gas Limited),6810,Gwynedd UA,Wales
Avanti Gas Limited,Cowdenbeath,Fife Road Loading Terminal,North Access Road             ,Cowdenbeath,Fife                          ,KY4 ,8EP,COMAH Lower Tier Operator, (was Shell Gas Limited),9066,Fife UA,Scotland
Avanti Gas Limited,Horam,,Chiddingly Road               ,Heathfield,East Sussex                   ,TN21,0JJ,COMAH Lower Tier Operator, (was Shell Gas Limited),1435,Wealden,England
Avanti Gas Limited,Slaughter Bridge - Coolham,Slaughter Bridge,Barns Green Road,Horsham,West Sussex                   ,RH13,7JP,COMAH Lower Tier Operator, (was Shell Gas Limited),3825,Horsham,England
Avanti Gas Limited,St Austell,Great Longstone Dry,Carthew                       ,St Austell,Cornwall                      ,PL26,8XG,COMAH Lower Tier Operator, (was Shell Gas Limited),0840,Cornwall UA,England
Avanti Gas Limited,Stanton,Shepherds Grove Industrial Estate,Stanton,Bury St Edmunds,Suffolk,IP31,2UD,COMAH Lower Tier Operator,,3525,St Edmundsbury,England
Avanti Gas Limited,Wednesbury,Bridge Street,Holloway Bank,Wednesbury,West Midlands                 ,WS10,0AW,COMAH Lower Tier Operator, (was Lister Gases Limited),4620,Sandwell,England
Avocado Research Chemicals Limited,Port of Heysham,Shore Road,Port of Heysham Industrial Park,Heysham,Lancashire,LA3,2XY,COMAH Lower Tier Operator,,2335,Lancaster,England
AWE Plc,Aldermaston,Atomic Weapons Establishment,Aldermaston Road,Reading,Berkshire,RG7,4PR,COMAH Lower Tier Operator,,0340,West Berkshire UA,England
BAE Systems Marine Limited,Barrow-in-Furness,PO Box 6,,Barrow-in-Furness,Cumbria,LA14,1AF,COMAH Lower Tier Operator,,0910,Barrow-in-Furness,England
Baker Hughes Limited,Kirkhill Industrial Estate - Aberdeen,Kirkhill Industrial Estate,Howe Moss Avenue              ,Aberdeen,Aberdeenshire,AB21,0NA,COMAH Lower Tier Operator,,9051,Aberdeen City UA,Scotland
Barony Universal Products Plc,Irvine - Riverside Way,Riverside Business Park,Riverside Way,Irvine,Ayrshire,KA11,5DJ,COMAH Lower Tier Operator,,9072,North Ayrshire UA,Scotland
Barony Universal Products Plc,Irvine - Arkwright Way,17 Arkwright Way,North Newmoor Industrial Estate,Irvine,North Ayrshire,KA11,4JU,COMAH Lower Tier Operator,,9072,North Ayrshire UA,Scotland
BASF Plc ,Bradford / Dealburn Road,,Low Moor,Bradford,West Yorkshire,BD12,0RG,COMAH Lower Tier Operator,,4705,Bradford,England
Bawtry Carbon International Limited,High Street,Bawtry Works,Austerfield,Doncaster,South Yorkshire               ,DN10,6QT,COMAH Lower Tier Operator, (was Vesuvius UK Ltd),4410,Doncaster,England
Beam Suntory UK Limited,Ardmore Distillery,Kennethmont,Huntly,Aberdeen,Aberdeenshire,AB54,4NH,COMAH Lower Tier Operator,(was Beam Global UK Ltd),9052,Aberdeenshire UA,Scotland
Beam Suntory UK Limited,Laphroaig Distillery,,Laphraoig,Isle of Islay,Western Isles,PA42,7DU,COMAH Lower Tier Operator,(was Beam Global UK Ltd),9054,Argyll & Bute UA,Scotland
Beam Suntory UK Limited,Linlithgow Bond,,Edinburgh Road,Linlithgow,West Lothian,EH49,6AA,COMAH Lower Tier Operator, (was Morrison Bowmore Distillery Limited),9079,West Lothian UA,Scotland
Beam Suntory UK Limited,Righead Industrial Estate,,Goil Avenue,Bellshill,North Lanarkshire,G71,6BH,COMAH Lower Tier Operator, (was Morrison Bowmore Distillery Limited),9073,North Lanarkshire UA,Scotland
Beam Suntory UK Limited,Springburn Bond,,Carlisle Street,Glasgow,Strathclyde,G21,1EE,COMAH Lower Tier Operator, (was Morrison Bowmore Distillery Limited),9067,Glasgow UA,Scotland
Becker Industrial Coatings Limited,"Goodlass Road, Speke",Goodlass Road,Speke,Liverpool,Merseyside,L24,9HJ,COMAH Lower Tier Operator,,4310,Liverpool,England
Belzona Polymerics Limited,Harrogate,Claro Road,,Harrogate,North Yorkshire,HG1,4DS,COMAH Lower Tier Operator,,2734,Harrogate,England
Ben Nevis Distillery (Fort William) Limited,Ben Nevis Distillery,,,Fort William,Invernesshire,PH33,6JT,COMAH Lower Tier Operator,,9068,Highland UA,Scotland
BenRiach Distillery Company Limited (The),Glendronach Distillery,,,Huntly,Aberdeenshire,AB54,6DA,COMAH Lower Tier Operator, (was Chivas Brothers Limited),9052,Aberdeenshire UA,Scotland
BenRiach Distillery Company Limited (The),Glenglassaugh Distillery,,,Portsoy,Banffshire,AB45,2SQ,COMAH Lower Tier Operator, (was The Glenglassaugh Distillery Company Ltd),9052,Aberdeenshire UA,Scotland
BenRiach Distillery Company Limited (The),Benriach Distillery,,Longmorn,Elgin,Morayshire  ,IV30,8SJ,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Biodeg Chemical Company Limted,Liverpool,Biodeg Chemicals Ltd,Edwards Lane                  ,Liverpool,Merseyside                    ,L24 ,9HW,COMAH Lower Tier Operator,,4310,Liverpool,England
BIP (Oldbury) Limited,Oldbury,PO Box 3180,Tat Bank Road                 ,Oldbury,West Midlands                 ,B69 ,4PG,COMAH Lower Tier Operator,,4620,Sandwell,England
BIP Organics Limited,Middlewich,Brooks Lane Industrial Estate,Brooks Lane,Middlewich,Cheshire,CW10,0QF,COMAH Lower Tier Operator,,0670,Cheshire East UA,England
Bitrez Limited,Standish,Unit 62 Bradley Hall Trading Estate,Bradley Lane,"Standish, Wigan",Lancashire,WN6,0XQ,COMAH Lower Tier Operator,,4250,Wigan,England
Blagden Specialty Chemicals Limited,Liverpool,"U3 Block D, Triumph Trading Park",Spitfire Road off Speke Hall Road,Liverpool,Merseyside,L24 ,9GQ,COMAH Lower Tier Operator,,4310,Liverpool,England
Blyth Harbour Commission,Battleship Wharf,Plessey Road,,Blyth,Northumberland,NE24,1QW,COMAH Lower Tier Operator,,2940,Northumberland UA,England
BOC Limited,Brislington,,Whitby Road                   ,Bristol,City of Bristol              ,BS4,3QH,COMAH Lower Tier Operator,,0116,Bristol UA,England
BOC Limited,Cambuslang Bogleshole Road,Bogleshole Road,Cambuslang,Glasgow,Lanarkshire,G72,7DD,COMAH Lower Tier Operator,,9077,South Lanarkshire UA,Scotland
BOC Limited,Crawley,,Fleming Way                   ,Crawley,West Sussex                   ,RH10,9NH,COMAH Lower Tier Operator,,3820,Crawley,England
BOC Limited,Hardley - Charleston Road,Charleston Road,Hythe,Southampton,Hampshire,SO45,3NX,COMAH Lower Tier Operator,,1740,New Forest,England
BOC Limited,Motherwell,,Chapelknowe Road              ,Motherwell,Lanarkshire                   ,ML1 ,5LF,COMAH Lower Tier Operator,,9073,North Lanarkshire UA,Scotland
BOC Limited,Rotherham,,Bawtry Road                   ,Rotherham,South Yorkshire               ,S60 ,5NT,COMAH Lower Tier Operator,,4415,Rotherham,England
BOC Limited,Thame,,Chinnor Road                  ,Thame                        ,Oxfordshire,OX9 ,3NX,COMAH Lower Tier Operator,,3115,South Oxfordshire,England
BOC Limited,Wolverhampton,,Lower Walsall Street          ,Wolverhampton,West Midlands                 ,WV1 ,2EP,COMAH Lower Tier Operator,,4635,Wolverhampton,England
Boughey Distribution Limited,Wardle,,Nantwich Road,"Wardle, Nantwich",Cheshire,CW5,6BP,COMAH Lower Tier Operator,,0670,Cheshire East UA,England
BP International Limited,Prestwick Airport,North Air ,,Prestwick,Ayrshire,KA9,2PL,COMAH Lower Tier Operator,,9076,South Ayrshire UA,Scotland
Brenntag UK Limited,Cambuslang,55 Westburn Drive,Cambuslang,Glasgow,Lanarkshire,G72,7NA,COMAH Lower Tier Operator,,9077,South Lanarkshire UA,Scotland
Brenntag UK Limited,Cleckheaton,,Oxford Road                   ,Cleckheaton,West Yorkshire                ,BD19,4JW,COMAH Lower Tier Operator, (was Albion Chemicals Ltd),4705,Bradford,England
Brenntag UK Limited,Greenwich,,Tunnel Avenue                 ,London,Greater London,SE10,0QE,COMAH Lower Tier Operator, (was Albion Chemicals Ltd),5330,Greenwich,England
Brenntag UK Limited,Portishead,Old Brick Works,Bristol Road,Portishead,Somerset,BS20,6QG,COMAH Lower Tier Operator,,0121,North Somerset,England
Brenntag UK Limited,Scunthorpe,Grove Wharf,Gunness,Scunthorpe,North Lincolnshire,DN15,8TZ,COMAH Lower Tier Operator, (was Albion Chemicals Ltd),2003,North Lincolnshire,England
Brenntag UK Limited,Sunderland,Turbine Business Park,Nissan Way,Sunderland,Tyne & Wear,NE38,8LE, COMAH Lower Tier Operator ,,4620,Sandwell,England
British Pipeline Agency Limited,North Walsham,Station Yard,Norwich Road                  ,North Walsham,Norfolk                       ,NR28,9JR,COMAH Lower Tier Operator,,2620,North Norfolk,England
British Sugar Plc,Wissington Sugar Factory,,,Kings Lynn,Norfolk,PE33,9QG,COMAH Lower Tier Operator,,2635,W Norfolk & Kings Lynn,England
Broxburn Bottlers Limited,Broxburn - Drovers Road,East Mains Industrial Estate,5 Drovers Road,Broxburn,West Lothian,EH52,5NN,COMAH Lower Tier Operator,,9079,West Lothian UA,Scotland
Bruichladdich Distillery Company Limited,Bruichladdich Distillery,,Bruichladdich,ISLE OF ISLAY,Argyle,PA49,7UN,COMAH Lower Tier Operator,,9054,Argyll & Bute UA,Scotland
Budget Gas Limited,Telford,Heslop,Halesfield 21,Telford,Shropshire                    ,TF7 ,4NX,COMAH Lower Tier Operator,,3240,The Wrekin UA,England
Caldic (UK) Limited,Holmewood Industrial Estate,Holmewood Industrial Estate,Stansby Close                 ,Chesterfield,Derbyshire                    ,S42 ,5UG,COMAH Lower Tier Operator,,1035,North East Derbyshire,England
Caligen Foam Limited,Accrington,,,Accrington,Lancashire,BB5,2BS,COMAH Lower Tier Operator,,2330,Hyndburn,England
Calor Gas Limited,Blackpool,15 Squires Gate Industrial Estate,Squires Gate Lane,Blackpool,Lancashire,FY4,3RN,COMAH Lower Tier Operator,,2373,Blackpool UA,England
Calor Gas Limited,Brecon,Old Station Yard,Three Cocks,Brecon,Powys                         ,LD3 ,0SD,COMAH Lower Tier Operator,,6850,Powys UA,Wales
Calor Gas Limited,Cranbrook (Old Station Yard),Old Station Yard,                              ,Cranbrook,Kent                          ,TN17,2SR,COMAH Lower Tier Operator,,2270,Tunbridge Wells,England
Calor Gas Limited,"Derby Road, Liverpool",,Derby Road                    ,Liverpool,Merseyside                    ,L20 ,8PF,COMAH Lower Tier Operator,,4310,Liverpool,England
Calor Gas Limited,Edmonton Calor Centre,,Stacey Avenue,London,Greater London,N18,3PE,COMAH Lower Tier Operator,,5300,Enfield,England
Calor Gas Limited,Elland,,Dewsbury Road                 ,Elland,West Yorkshire                ,HX5 ,9JU,COMAH Lower Tier Operator,,4710,Calderdale,England
Calor Gas Limited,Hardley - Cadland Road,Calor Depot - Fawley (Hythe),Cadland Road                  ,Southampton,Hampshire                     ,SO45,3NY,COMAH Lower Tier Operator,,1740,New Forest,England
Calor Gas Limited,Inverness,,Carsegate Road North          ,Inverness,Highland,IV3 ,6ES,COMAH Lower Tier Operator,,9068,Highland UA,Scotland
Calor Gas Limited,Newbury,Calor Depot,London Road Trading Estate    ,Newbury,Berkshire,RG14,2AE,COMAH Lower Tier Operator,,0340,West Berkshire UA,England
Calor Gas Limited,Norwich,Livestock Market,Hall Road                     ,Norwich,Norfolk                       ,NR4 ,6EQ,COMAH Lower Tier Operator,,2625,Norwich,England
Calor Gas Limited,Poole,Poole Depot,Willis Way                    ,Poole,Dorset                        ,BH15,3SS,COMAH Lower Tier Operator,,1255,Poole UA,England
Calor Gas Limited,Reading,Goods Yard Mortimer Station,                              ,Reading                       ,Berkshire,RG7 ,2AB,COMAH Lower Tier Operator,,0340,West Berkshire UA,England
Calor Gas Limited,Salford,Manchester Calor Centre,Daniel Adamson Road           ,Salford           ,Greater Manchester,M5  ,2GU,COMAH Lower Tier Operator,,4230,Salford,England
Calor Gas Limited,Sittingbourne,Old Pump House West Lane Trading Estate,Eurolink Way                  ,Sittingbourne,Kent                          ,ME10,3SR,COMAH Lower Tier Operator,,2255,Swale,England
Calor Gas Limited,Smethwick,,Mornington Road               ,Birmingham,West Midlands                 ,B66 ,2JE,COMAH Lower Tier Operator,,4620,Sandwell,England
Calor Gas Limited,Stalbridge,Stalbridge Depot,Gibbs Marsh Trading Estate    ,Sturminster Newton,Dorset                        ,DT10,2RY,COMAH Lower Tier Operator,,1215,North Dorset,England
Calor Gas Limited,Stoke on Trent,Sneyd Hill Depot,Sneyd Hill,Stoke-on-Trent,Staffordshire,ST6,2DZ,COMAH Lower Tier Operator,,3455,Stoke-on-Trent,England
Calor Gas Limited,Uxbridge Calor Depot,Bridge Works,Iver Lane,Uxbridge,Greater London,UB8,2JG,COMAH Lower Tier Operator,,5510,Hillingdon,England
Calor Gas Limited,Wandsworth Calor Depot,10 Delta Business Park,Smugglers Way,London,Greater London,SW18,1EG,COMAH Lower Tier Operator,,5960,Wandsworth,England
Calor Gas Limited,Dyce,Wellheads Industrial Estate,Wellheads Place,"Dyce, Aberdeen",Aberdeenshire,AB21,7GB,COMAH Lower Tier Operator,,9051,Aberdeen City UA,Scotland
Calor Gas Limited,Worcester,Trow Way,Diglis Industrial Estate,Worcester,Worcestershire,WR5,3BX,COMAH Lower Tier Operator,,1835,Worcester,England
Cambrian Gas Limited,HQ/Factory Road,Factory Road Industrial Estate,Factory Road,"Sandycroft, Deeside",Flintshire                    ,CH5,2QJ,COMAH Lower Tier Operator,,6835,Flintshire UA,Wales
Campbell Meyer & Co. Limited,Peel Park Place,Collage Milton South,3 Peel Park Place,"East Kilbride, GLASGOW",Strathclyde,G74,5LW,COMAH Lower Tier Operator,(was J. G. Distillers Limited),9077,South Lanarkshire UA,Scotland
Cardiff Gas Limited,Penarth,,Sully Moors Road              ,Penarth,Glamorgan                     ,CF64,2SY,COMAH Lower Tier Operator,,6950,Vale of Glamorgan UA,Wales
Carntyne Transport Company Limited,Bonhill,,Dilliechip Loan,Bonhill,Dumbartonshire,G83,9HX,COMAH Lower Tier Operator, (was Diageo Scotland Limited),9057,West Dumbartonshire UA,Scotland
Carver (Wolverhampton) Limited,Wolverhampton / Gravelly Way,Four Ashes,Gravelly Way,Wolverhampton,Staffordshire,WV10,7GW,COMAH Lower Tier Operator,,3430,South Staffordshire,England
Centec International Limited,Middlewich,Science Park,Brooks Lane,Middlewich,Cheshire,CW10,0JG,COMAH Lower Tier Operator,,0670,Cheshire East UA,England
Certas Energy UK Limited,Aberdeen Point Law,Aberdeen Terminal,27 Point Law,Aberdeen,Aberdeenshire                 ,AB11,5QW,COMAH Lower Tier Operator, (was GB Oils Limited was BP Oil UK Ltd),9051,Aberdeen City UA,Scotland
Certas Energy UK Limited,Inverness,,Cromwell Road,Inverness,Highland,IV1,1SX,COMAH Lower Tier Operator, (was GB Oils Limited was BP Oil UK Ltd),9068,Highland UA,Scotland
Certas Energy UK Limited,Lerwick,,North Ness,Lerwick,Shetland,ZE1,0LZ,COMAH Lower Tier Operator, (was GB Oils Limited was Scottish Fuels),9010,Shetland,Scotland
Chemring Countermeasures Limited,Salisbury,High Post,,Salisbury,Wiltshire ,SP4 ,6AS,COMAH Lower Tier Operator, (was Pains Wessex Ltd),3940,Wiltshire UA,England
Chemring Defence UK Limited,Draycott,Wilne Mills,,Draycott,Derbyshire,DE72,3QJ,COMAH Lower Tier Operator,,1025,Erewash,England
Chestnut Trading Limited,Brookenby Business Park,Brookenby,Binbrook,Market Rasen,Lincolnshire,LN8,6HF,COMAH Lower Tier Operator,,2535,West Lindsey,England
Chivas Brothers Limited,Glenburgie Distillery,,,Forres,Moray,IV36,2QX,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Chivas Brothers Limited,Glentauchers Distillery,,Mulben,Keith,Banffshire,AB55,6YL,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Chivas Brothers Limited,Kilmalid Distillery,,Stirling road,Dumbarton,West Dunbartonshire,G82,2SS,COMAH Lower Tier Operator,,9057,West Dumbartonshire UA,Scotland
Chivas Brothers Limited,Miltonduff Glenlivet Distillery,,,Elgin,Moray,IV30,3TQ,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Chivas Brothers Limited,The Glenlivet Distillery,,,Ballindalloch,Moray,AB37,5DB,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Chivas Brothers Limited,Tormore Distillery,,"Richardson Road, Advie",Grantown on Spey,Inverness and Nairn ,PH26,3LR,COMAH Lower Tier Operator,,9068,Highland UA,Scotland
Chivas Brothers Limited,Towers Road Warehouse,,Towers Road,Airdrie,Lanarkshire,ML6,8NA,COMAH Lower Tier Operator,,9073,North Lanarkshire UA,Scotland
Christeyns Food Hygiene Limited,Winwick Quay,,2-3 Cameron Court,Warrington,Cheshire,WA2,8RE,COMAH Lower Tier Operator, (was Klenzan Limited),0655,Warrington UA,England
Clariant Oil Services UK Limited,Aberdeen,Kirkhill Industrial Estate,Howe Moss Place               ,Aberdeen,Aberdeenshire,AB21,0GS,COMAH Lower Tier Operator,,9051,Aberdeen City UA,Scotland
CLH Pipeline System (CLH-PS) Limited,Inverness PSD,Inverness PSD,Longman Drive,Inverness,Highland,IV1,1SU,COMAH Lower Tier Operator, (was Oil and Pipelines Agency),9068,Highland UA,Scotland
CLH Pipeline System (CLH-PS) Limited,Saffron Walden PSD,Ashdon Road,,Saffron Walden,Essex,CB10,2NF,COMAH Lower Tier Operator, (was Oil and Pipelines Agency),1570,Uttlesford,England
CLH Pipeline System (CLH-PS) Limited,Purton PSD,Purton PSD,The Pry              ,Swindon                      ,Wiltshire                    ,SN5 ,4JS,COMAH Lower Tier Operator, (was Oil and Pipelines Agency),3935,Swindon UA,England
CLH Pipeline System (CLH-PS) Limited,Sandy PSD,Sandy PSD,Potton Road,Sandy ,Bedfordshire,SG19,2EB,COMAH Lower Tier Operator, (was Oil and Pipelines Agency),0205,Bedford,England
CLH Pipeline System (CLH-PS) Limited,Berwick Wood PSD,Berwick Lane,Hallen,Bristol,South Gloucestershire,BS10,7RS,COMAH Lower Tier Operator, (was Oil and Pipelines Agency),0119,South Gloucs UA,England
Coryton Advanced Fuels Limited,Coryton,The Manorway,,Stanford-le-Hope,Essex ,SS17,9LN,COMAH Lower Tier Operator,,1595,Thurrock UA,England
Covance CRS Limited,Alconbury,,Woolley Road,Huntingdon,Cambridgeshire,PE28,4HS,COMAH Lower Tier Operator, (was Envigo CRS Limited (was Huntingdon Life Sciences Limited),0520,Huntingdon,England
CRC Industries UK Limited,Bridgwater,Castle Field Industrial Estate,Wylds Road                    ,Bridgwater,Somerset                      ,TA6,4DD,COMAH Lower Tier Operator,,3310,Sedgemoor,England
Croda Europe Limited,Thorne Distribution Centre,"Unit 6, Alpha Court",,Thorne,South Yorkshire,DN8,5TZ,COMAH Lower Tier Operator,,4410,Doncaster,England
Croda Europe Limited,Goole 36 Business Development,Plot A,,Goole,East Yorkshire,DN14,8GA,COMAH Lower Tier Operator,,2001,East Riding,England
Cumbrian Storage Limited,Port of Workington,Prince of Wales Dock,,Workington,Cumbria,CA14,2JH,COMAH Lower Tier Operator,,0905,Allerdale,England
Deltech Europe Limited,Haverhill,,Piperell Way,Haverhill,Suffolk,CB9,8PH,COMAH Lower Tier Operator,,3525,St Edmundsbury,England
DHL Supply Chain Limited,Stoke on Trent / Sainsbury's Distribution Centre,Sainsbury's Distribution Centre,Radial Park,Stoke on Trent,Staffordshire,ST4,4EX,COMAH Lower Tier Operator, (was Power Europe Limited),3455,Stoke-on-Trent,England
Diageo Scotland Limited,Benrinnes Distillery,,,Aberlour,Moray,AB38,9NN,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Diageo Scotland Limited,Cameronbridge,,,Leven,Fife,KY8 ,5RL,COMAH Lower Tier Operator,,9066,Fife UA,Scotland
Diageo Scotland Limited,Carsebridge Bond,,Carsebridge Road,Alloa,Clackmannanshire,FK10,3LT,COMAH Lower Tier Operator,,9056,Clackmannan UA,Scotland
Diageo Scotland Limited,Dufftown Distillery,,,Dufftown,Banffshire,AB55,4BR,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Diageo Scotland Limited,Grange Lane,,Grange Lane,Grangemouth,Stirlingshire,FK3,8EG,COMAH Lower Tier Operator,,9065,Falkirk UA,Scotland
Diageo Scotland Limited,Inchgower Distillery,,,Buckie,Banffshire,AB56,5AB,COMAH Lower Tier Operator,,9071,Moray UA,Scotland
Diageo Scotland Limited,Shieldhall Packing Operations,,Renfrew Road,Glasgow,Strathclyde,G51,4SA,COMAH Lower Tier Operator,,9067,Glasgow UA,Scotland
Diversey UK Production Limited - Part of Sealedair,"Alfreton, Cotes Park Industrial Estate",Cotes Park Estate,Somercotes,Alfreton,Derbyshire,DE55,4PA,COMAH Lower Tier Operator,,1005,Amber Valley,England
DMW Logistics Limited,Sutton in Ashfield,"Unit 1, Sutton Parkway",Oddicroft Lane,SUTTON-IN-ASHFIELD,Nottinghamshire,NG17,5FB,COMAH Lower Tier Operator,,3005,Ashfield,England
Dr Reddy's Laboratories (EU) Limited,Mirfield,Po Box 6,Steanard Lane                 ,Mirfield,West Yorkshire                ,WF14,8HZ,COMAH Lower Tier Operator,,4715,Kirklees,England
Dracon Trading Limited,Hemswell Cliff,Caenby Corner Industrial Estate,Tatams Mount,Hemswell Cliff,Lincolnshire,DN21,5TL,COMAH Lower Tier Operator,,2535,West Lindsey,England
Drax Power Limited,Drax Power Station/Drax Power Limited,Drax Power Station,PO Box 3,Selby,North Yorkshire,YO8,8PQ,COMAH Lower Tier Operator,,2739,Selby,England
DSM Nutritional Products (UK) Limtied,Heanor,"Unit 41, Delves Road",Heanor Gate Industrial Estate,Heanor,Derbyshire,DE75,7SG,COMAH Lower Tier Operator,,1005,Amber Valley,England
EDF Energy (Thermal Generation) Limited,West Burton Power Station,Retford,,,Nottinghamshire,DN22,9BL,COMAH Lower Tier Operator, (was EDF Energy (West Burton Power) Limited),3010,Bassetlaw,England
EDF Energy Nuclear Generation Limited,Dungeness B Power Station,,,Romney Marsh,Kent,TN29,3RS,COMAH Lower Tier Operator, (was British Energy Generation Limited),2250,Shepway,England
